Размер,Категория,Бренд,Материал сумок,Цвет,Длина ручки,Наличие пыльника,Состояние товара,Модель,Винтаж,Наличие коробки,Наличие сертификата,Ценовая категория,Метод производства,Легенда,Цена
INT L,Сумки с короткими ручками,HERMES PRE-OWNED,Кожа,Синий,Короткие ручки,1,Отличное состояние,Birkin,0,0,0,Экстремально люксовые,Сделанные вручную,1,850000
INT M,Сумки тоут,CELINE PRE-OWNED,Другое,Бежевый,Средние ручки,0,Новое с биркой,Ordinary,0,0,0,Люксовые,Произведенные на фабрике,0,115000
INT M,Сумки тоут,CELINE PRE-OWNED,Другое,Бежевый,Средние ручки,0,Новое с биркой,Ordinary,0,0,0,Люксовые,Произведенные на фабрике,0,110000
INT M,Сумки тоут,CELINE PRE-OWNED,Другое,Бежевый,Средние ручки,0,Новое с биркой,Ordinary,0,0,0,Люксовые,Произведенные на фабрике,0,100000
INT S,Сумки с короткими ручками,HERMES PRE-OWNED,Кожа,Белый,Длинный ремень,0,Новое с биркой,Ordinary,0,0,0,Экстремально люксовые,Сделанные вручную,0,870000
INT S,Сумки через плечо,MICHAEL KORS,Кожа,Темно-синий,Длинный ремень,0,Новое с биркой,Ordinary,0,0,0,Доступные,Произведенные на фабрике,0,27500
INT XS,Сумки с короткими ручками,HERMES PRE-OWNED,Кожа,Коричневый,Короткие ручки,1,Новое с биркой,Ordinary,0,1,0,Экстремально люксовые,Сделанные вручную,0,445000
INT M,Сумки тоут,LOUIS VUITTON PRE-OWNED,Ткань,Розовый,Средние ручки,1,Отличное состояние,Ordinary,1,0,0,Люксовые,Произведенные на фабрике,0,81000
INT U,Сумки с короткими ручками,HERMES PRE-OWNED,Кожа,Красный,Длинный ремень,1,Новое с биркой,Ordinary,0,1,1,Экстремально люксовые,Сделанные вручную,0,327000
INT U,Сумки через плечо,COMME DES GARÇONS,Кожа,Другое,Средние ручки,0,Новое с биркой,Ordinary,0,0,0,Дорогие,Произведенные на фабрике,0,48100
INT U,Поясные сумки,LOUIS VUITTON PRE-OWNED,Другое,Мульти,Длинный ремень,0,Новое с биркой,Ordinary,0,0,0,Люксовые,Произведенные на фабрике,0,340000
INT S,Сумки через плечо,SAINT LAURENT,Кожа,Серый,Длинный ремень,0,Хорошее состояние,Ordinary,0,0,0,Люксовые,Завершенные вручную,0,130000
INT S,Сумки с короткими ручками,HERMES PRE-OWNED,Другое,Темно-синий,Короткие ручки,1,Новое с биркой,Ordinary,0,1,0,Экстремально люксовые,Сделанные вручную,0,565000
INT M,Сумки через плечо,GUCCI,Кожа,Бежевый,Длинный ремень,1,Отличное состояние,Ordinary,0,0,0,Люксовые,Завершенные вручную,0,81500
INT XS,Сумки через плечо,SAINT LAURENT,Кожа,Черный,Длинный ремень,1,Хорошее состояние,Ordinary,0,0,0,Люксовые,Завершенные вручную,0,78000
INT L,Сумки тоут,SAINT LAURENT,Ткань,Черный,Средние ручки,0,Новое с биркой,Ordinary,0,0,0,Люксовые,Завершенные вручную,0,17450
INT L,Сумки через плечо,BVLGARI,Кожа,Черный,Длинный ремень,0,Хорошее состояние,Ordinary,0,1,0,Экстремально люксовые,Произведенные на фабрике,0,158000
INT M,Сумки через плечо,BVLGARI,Кожа,Зеленый,Длинный ремень,1,Отличное состояние,Ordinary,0,1,0,Экстремально люксовые,Произведенные на фабрике,0,148000
INT S,Клатчи и вечерние сумки,GIVENCHY,Кожа,Розовый,Короткие ручки,0,Отличное состояние,Ordinary,0,0,0,Доступный люкс,Произведенные на фабрике,0,13000
INT XS,Сумки с короткими ручками,CELINE PRE-OWNED,Ткань,Белый,Короткие ручки,0,Отличное состояние,Ordinary,1,0,0,Люксовые,Произведенные на фабрике,0,30000
INT M,Сумки тоут,VERSACE,Кожа,Белый,Средние ручки,0,Хорошее состояние,Ordinary,0,0,0,Дорогие,Произведенные на фабрике,0,50000
INT S,Сумки с короткими ручками,BALENCIAGA,Кожа,Розовый,Короткие ручки,1,Отличное состояние,Ordinary,0,0,0,Люксовые,Произведенные на фабрике,0,120000
INT M,Сумки тоут,PRADA,Ткань,Темно-синий,Средние ручки,0,Отличное состояние,Ordinary,0,0,0,Люксовые,Произведенные на фабрике,0,65000
INT M,Сумки тоут,OFF-WHITE,Другое,Черный,Средние ручки,0,Хорошее состояние,Ordinary,0,0,0,Доступный люкс,Произведенные на фабрике,0,17500
INT M,Сумки с короткими ручками,LOUIS VUITTON PRE-OWNED,Другое,Бежевый,Короткие ручки,0,Отличное состояние,Speedy,0,0,0,Люксовые,Произведенные на фабрике,1,56000
INT M,Сумки с короткими ручками,CELINE PRE-OWNED,Кожа,Черный,Длинный ремень,0,Отличное состояние,Ordinary,0,0,0,Люксовые,Произведенные на фабрике,0,180000
INT XS,Поясные сумки,ADIDAS BY STELLA MCCARTNEY,Другое,Черный,Длинный ремень,0,Отличное состояние,Ordinary,0,0,0,Доступные,Произведенные на фабрике,0,18000
INT M,Сумки с короткими ручками,CHANEL PRE-OWNED,Лакированная кожа,Красный,Короткие ручки,1,Отличное состояние,Ordinary,1,0,0,Люксовые,Произведенные на фабрике,0,108000
INT S,Сумки через плечо,VERSACE,Кожа,Белый,Длинный ремень,0,Хорошее состояние,Ordinary,0,0,0,Дорогие,Произведенные на фабрике,0,47500
INT XS,Поясные сумки,DOLCE & GABBANA VINTAGE,Кожа,Фуксия,Длинный ремень,0,Отличное состояние,Ordinary,0,0,0,Доступные,Произведенные на фабрике,0,19000
INT M,Сумки тоут,CELINE PRE-OWNED,Кожа,Черный,Короткие ручки,1,Отличное состояние,Ordinary,0,0,1,Люксовые,Произведенные на фабрике,0,155000
INT S,Сумки с короткими ручками,MIU MIU,Кожа,Черный,Короткие ручки,1,Новое с биркой,Ordinary,0,0,0,Люксовые,Произведенные на фабрике,0,195000
INT S,Сумки через плечо,EERA,Другое,Белый,Длинный ремень,0,Новое с биркой,Ordinary,0,0,0,Дорогие,Произведенные на фабрике,0,72000
INT S,Сумки с короткими ручками,CHRISTIAN DIOR PRE-OWNED,Кожа,Черный,Длинный ремень,0,Отличное состояние,Lady,0,0,0,Люксовые,Сделанные вручную,1,395000
INT M,Сумки с короткими ручками,CHANEL PRE-OWNED,Мех,Черный,Короткие ручки,0,Отличное состояние,Ordinary,0,0,0,Люксовые,Произведенные на фабрике,0,569000
INT XS,Клатчи и вечерние сумки,CHANEL PRE-OWNED,Хлопок,Черный,Длинный ремень,0,Отличное состояние,Classic,0,0,0,Люксовые,Произведенные на фабрике,1,230000
INT M,Сумки через плечо,CHANEL PRE-OWNED,Кожа,Черный,Длинный ремень,0,Отличное состояние,Ordinary,0,0,0,Люксовые,Произведенные на фабрике,0,380000
INT S,Клатчи и вечерние сумки,VALENTINO,Кожа,Мульти,Короткие ручки,0,Отличное состояние,Ordinary,0,0,0,Доступный люкс,Произведенные на фабрике,0,32800
INT U,Сумки тоут,BOTTEGA VENETA,Кожа,Бордовый,Короткие ручки,0,Новое с биркой,Ordinary,0,0,0,Люксовые,Сделанные вручную,0,239000
INT S,Поясные сумки,GUCCI,Бархат,Черный,Длинный ремень,0,Отличное состояние,Ordinary,0,0,0,Люксовые,Завершенные вручную,0,49500
INT U,Сумки через плечо,LOEWE,Кожа,Серый,Длинный ремень,1,Новое с биркой,Ordinary,0,1,0,Люксовые,Сделанные вручную,0,285000
INT S,Сумки с короткими ручками,HERMES PRE-OWNED,Кожа,Фуксия,Средние ручки,1,Отличное состояние,Ordinary,0,1,0,Экстремально люксовые,Сделанные вручную,0,495000
INT S,Клатчи и вечерние сумки,FENDI,Мех,Другое,Короткие ручки,0,Отличное состояние,Ordinary,1,0,0,Люксовые,Сделанные вручную,0,300000
INT XS,Сумки через плечо,GUCCI,Деним,Бежевый,Длинный ремень,1,Отличное состояние,Ordinary,0,0,0,Люксовые,Завершенные вручную,0,313340
INT M,Сумки через плечо,GUCCI,Деним,Голубой,Длинный ремень,1,Отличное состояние,Ordinary,0,0,0,Люксовые,Завершенные вручную,0,163340
INT S,Сумки через плечо,CHANEL PRE-OWNED,Деним,Темно-синий,Длинный ремень,0,Хорошее состояние,Ordinary,0,0,0,Люксовые,Произведенные на фабрике,0,160000
INT S,Сумки через плечо,COACH,Кожа,Красный,Длинный ремень,0,Отличное состояние,Ordinary,0,0,0,Дорогие,Произведенные на фабрике,0,10000
INT S,Сумки с короткими ручками,BOTTEGA VENETA,Кожа,Черный,Короткие ручки,1,Новое с биркой,Ordinary,0,1,1,Люксовые,Сделанные вручную,0,280000
INT U,Сумки через плечо,EMPORIO ARMANI,Другое,Золотой,Длинный ремень,0,Новое с биркой,Ordinary,0,0,0,Дорогие,Произведенные на фабрике,0,35630
INT S,Сумки через плечо,CELINE PRE-OWNED,Кожа,Черный,Короткие ручки,1,Новое с биркой,Ordinary,0,1,1,Люксовые,Произведенные на фабрике,0,220000
INT XS,Сумки через плечо,BOTTEGA VENETA,Кожа,Серебряный,Средние ручки,0,Хорошее состояние,Ordinary,0,0,0,Люксовые,Сделанные вручную,0,81200
INT U,Сумки через плечо,EMPORIO ARMANI,Другое,Синий,Длинный ремень,0,Новое с биркой,Ordinary,0,0,0,Дорогие,Произведенные на фабрике,0,18830
INT XS,Сумки с короткими ручками,FENDI,Жаккард,Коричневый,Короткие ручки,0,Отличное состояние,Ordinary,1,0,0,Люксовые,Сделанные вручную,0,81200
INT L,Сумки тоут,COACH,Искусственная кожа,Бежевый,Средние ручки,0,Новое с биркой,Ordinary,0,0,0,Дорогие,Произведенные на фабрике,0,32000
INT U,Сумки через плечо,EMPORIO ARMANI,Искусственная кожа,Коричневый,Средние ручки,0,Новое с биркой,Ordinary,0,0,0,Дорогие,Произведенные на фабрике,0,18830
INT U,Сумки через плечо,EMPORIO ARMANI,Другое,Синий,Длинный ремень,0,Новое с биркой,Ordinary,0,0,0,Дорогие,Произведенные на фабрике,0,18830
INT M,Сумки через плечо,GUCCI,Кожа,Черный,Длинный ремень,1,Отличное состояние,Ordinary,0,1,0,Люксовые,Завершенные вручную,0,150000
INT M,Сумки с короткими ручками,FENDI,Мех,Коричневый,Средние ручки,0,Хорошее состояние,Ordinary,1,0,0,Люксовые,Сделанные вручную,0,67690
INT U,Сумки через плечо,EMPORIO ARMANI,Другое,Коричневый,Длинный ремень,0,Новое с биркой,Ordinary,0,0,0,Дорогие,Произведенные на фабрике,0,18830
INT M,Сумки с короткими ручками,LOUIS VUITTON PRE-OWNED,Другое,Коричневый,Короткие ручки,0,Хорошее состояние,Speedy,0,0,0,Люксовые,Произведенные на фабрике,1,171480
INT M,Сумки с короткими ручками,FENDI,Мех,Коричневый,Средние ручки,0,Отличное состояние,Ordinary,1,0,0,Люксовые,Сделанные вручную,0,103750
INT U,Сумки через плечо,EMPORIO ARMANI,Другое,Черный,Длинный ремень,0,Новое с биркой,Ordinary,0,0,0,Дорогие,Произведенные на фабрике,0,18830
INT L,Сумки тоут,GUCCI,Кожа,Черный,Средние ручки,0,Хорошее состояние,Ordinary,1,0,0,Люксовые,Завершенные вручную,0,54150
INT S,Сумки через плечо,BOTTEGA VENETA,Кожа,Темно-синий,Длинный ремень,0,Хорошее состояние,Ordinary,0,0,0,Люксовые,Сделанные вручную,0,67690
INT U,Сумки тоут,EMPORIO ARMANI,Другое,Черный,Средние ручки,0,Новое с биркой,Ordinary,0,0,0,Дорогие,Произведенные на фабрике,0,44730
INT U,Сумки тоут,EMPORIO ARMANI,Другое,Коричневый,Длинный ремень,0,Новое с биркой,Ordinary,0,0,0,Дорогие,Произведенные на фабрике,0,44730
INT M,Сумки с короткими ручками,BOTTEGA VENETA,Кожа,Оранжевый,Средние ручки,0,Хорошее состояние,Ordinary,0,0,0,Люксовые,Сделанные вручную,0,103750
INT XS,Клатчи и вечерние сумки,DOLCE&GABBANA,Кожа,Белый,Короткие ручки,0,Отличное состояние,Ordinary,0,0,0,Доступный люкс,Произведенные на фабрике,0,33000
INT U,Сумки через плечо,EMPORIO ARMANI,Другое,Черный,Длинный ремень,0,Новое с биркой,Ordinary,0,0,0,Дорогие,Произведенные на фабрике,0,56630
INT M,Сумки через плечо,LOUIS VUITTON PRE-OWNED,Другое,Коричневый,Средние ручки,1,Новое с биркой,Ordinary,0,0,0,Люксовые,Произведенные на фабрике,0,161000
INT M,Сумки с короткими ручками,CHLOE,Кожа,Бежевый,Средние ручки,1,Отличное состояние,Ordinary,0,0,0,Дорогие,Произведенные на фабрике,0,101000
INT U,Сумки тоут,EMPORIO ARMANI,Другое,Коричневый,Средние ручки,0,Новое с биркой,Ordinary,0,0,0,Дорогие,Произведенные на фабрике,0,56630
