Размер,Категория,Бренд,Материал сумок,Цвет,Длина ручки,Наличие пыльника,Состояние товара,Модель,Винтаж,Наличие коробки,Наличие сертификата,Ценовая категория,Метод производства,Легенда,Цена
INT L,Сумки с короткими ручками,GUCCI,Кожа,Черный,Короткие ручки,0,Отличное состояние,Ordinary,0,0,0,Люксовые,Завершенные вручную,0,48900
INT U,Сумки с короткими ручками,HERMES PRE-OWNED,Кожа,Коричневый,Средние ручки,0,Отличное состояние,Birkin,0,0,0,Экстремально люксовые,Сделанные вручную,1,1360000
INT M,Сумки с короткими ручками,ETRO,Искусственная кожа,Коричневый,Средние ручки,0,Хорошее состояние,Ordinary,0,0,0,Доступные,Произведенные на фабрике,0,24000
INT M,Сумки с короткими ручками,HERMES PRE-OWNED,Другое,Черный,Средние ручки,0,Новое с биркой,Ordinary,0,0,0,Экстремально люксовые,Сделанные вручную,0,525000
INT L,Пляжные сумки,JACQUEMUS,Плетение,Бежевый,Длинный ремень,0,Новое с биркой,Ordinary,0,0,0,Доступный люкс,Завершенные вручную,0,62000
INT S,Сумки через плечо,MAX&CO,Искусственная кожа,Мульти,Длинный ремень,1,Отличное состояние,Ordinary,0,0,0,Доступные,Произведенные на фабрике,0,10000
INT S,Сумки с короткими ручками,MIU MIU,Кожа,Черный,Короткие ручки,0,Новое с биркой,Ordinary,0,0,0,Люксовые,Произведенные на фабрике,0,333000
INT M,Сумки с короткими ручками,GUCCI,Кожа,Коричневый,Средние ручки,0,Хорошее состояние,Ordinary,1,0,0,Люксовые,Завершенные вручную,0,39000
INT S,Сумки через плечо,PRADA,Другое,Черный,Короткие ручки,1,Отличное состояние,Ordinary,0,0,0,Люксовые,Произведенные на фабрике,0,55000
INT S,Сумки через плечо,HERMES PRE-OWNED,Кожа,Коричневый,Средние ручки,1,Новое с биркой,Jypsiere,0,1,1,Экстремально люксовые,Сделанные вручную,1,1120000
INT S,Сумки через плечо,LOUIS FERAUD,Кожа,Мульти,Средние ручки,1,Отличное состояние,Ordinary,0,0,0,Доступные,Произведенные на фабрике,0,14500
INT M,Сумки с короткими ручками,LONGCHAMP,Экзотическая кожа,Коричневый,Средние ручки,0,Отличное состояние,Ordinary,0,0,0,Доступные,Произведенные на фабрике,0,10000
INT S,Сумки через плечо,HERMES PRE-OWNED,Кожа,Голубой,Средние ручки,0,Отличное состояние,Kelly,0,0,0,Экстремально люксовые,Сделанные вручную,1,271000
INT M,Сумки с короткими ручками,HERMES PRE-OWNED,Ткань,Темно-синий,Длинный ремень,0,Отличное состояние,Ordinary,0,0,0,Экстремально люксовые,Сделанные вручную,0,195340
INT S,Сумки с короткими ручками,HERMES PRE-OWNED,Кожа,Розовый,Короткие ручки,0,Отличное состояние,Kelly,0,0,0,Экстремально люксовые,Сделанные вручную,1,1120000
INT S,Сумки через плечо,VALENTINO,Кожа,Черный,Длинный ремень,1,Хорошее состояние,Ordinary,0,0,0,Доступный люкс,Произведенные на фабрике,0,55000
INT U,Сумки через плечо,HERMES PRE-OWNED,Кожа,Черный,Средние ручки,0,Отличное состояние,Kelly,0,0,0,Экстремально люксовые,Сделанные вручную,1,723810
INT M,Сумки с короткими ручками,HERMES PRE-OWNED,Другое,Темно-синий,Длинный ремень,0,Отличное состояние,Ordinary,0,0,0,Экстремально люксовые,Сделанные вручную,0,246340
INT M,Сумки с короткими ручками,JACQUEMUS,Кожа,Черный,Длинный ремень,0,Новое с биркой,Ordinary,0,0,0,Доступный люкс,Завершенные вручную,0,75000
INT S,Сумки через плечо,CHANEL PRE-OWNED,Кожа,Другое,Длинный ремень,0,Хорошее состояние,Ordinary,0,0,0,Люксовые,Произведенные на фабрике,0,150000
INT M,Сумки с короткими ручками,HERMES PRE-OWNED,Другое,Черный,Короткие ручки,1,Новое с биркой,Ordinary,0,1,1,Экстремально люксовые,Сделанные вручную,0,436000
INT M,Сумки с короткими ручками,HERMES PRE-OWNED,Другое,Черный,Длинный ремень,1,Новое с биркой,Ordinary,0,1,1,Экстремально люксовые,Сделанные вручную,0,501000
INT U,Сумки через плечо,HERMES PRE-OWNED,Кожа,Белый,Средние ручки,0,Отличное состояние,Kelly,0,0,0,Экстремально люксовые,Сделанные вручную,1,653000
INT XS,Сумки тоут,AGNONA,Кожа,Синий,Средние ручки,1,Новое с биркой,Ordinary,0,0,0,Дорогие,Произведенные на фабрике,0,80000
INT U,Сумки с короткими ручками,HERMES PRE-OWNED,Кожа,Красный,Средние ручки,0,Отличное состояние,Birkin,0,0,0,Экстремально люксовые,Сделанные вручную,1,1270000
INT M,Сумки с короткими ручками,EMPORIO ARMANI,Другое,Мульти,Короткие ручки,1,Отличное состояние,Ordinary,0,0,0,Дорогие,Произведенные на фабрике,0,45000
INT XS,Сумки через плечо,HERMES PRE-OWNED,Кожа,Желтый,Средние ручки,0,Хорошее состояние,Birkin,0,0,0,Экстремально люксовые,Сделанные вручную,1,680000
INT S,Сумки с короткими ручками,HERMES PRE-OWNED,Кожа,Черный,Короткие ручки,1,Отличное состояние,Kelly,0,1,0,Экстремально люксовые,Сделанные вручную,1,1570000
INT XS,Сумки с короткими ручками,HERMES PRE-OWNED,Экзотическая кожа,Серый,Длинный ремень,1,Отличное состояние,Kelly,0,1,1,Экстремально люксовые,Сделанные вручную,1,5590000
INT S,Сумки через плечо,OFF-WHITE,Кожа,Черный,Длинный ремень,1,Отличное состояние,Ordinary,0,0,0,Доступный люкс,Произведенные на фабрике,0,67000
INT M,Сумки тоут,CHRISTIAN DIOR PRE-OWNED,Кожа,Коричневый,Средние ручки,0,Отличное состояние,Ordinary,0,0,0,Люксовые,Сделанные вручную,0,40000
INT U,Сумки через плечо,HERMES PRE-OWNED,Кожа,Коричневый,Средние ручки,0,Хорошее состояние,Birkin,0,0,0,Экстремально люксовые,Сделанные вручную,1,800000
INT U,Сумки с короткими ручками,HERMES PRE-OWNED,Кожа,Коричневый,Средние ручки,0,Отличное состояние,Kelly,0,0,0,Экстремально люксовые,Сделанные вручную,1,2200000
INT M,Сумки через плечо,VALENTINO,Кожа,Розовый,Длинный ремень,0,Хорошее состояние,Ordinary,0,0,0,Доступный люкс,Произведенные на фабрике,0,38900
INT XS,Сумки через плечо,HERMES PRE-OWNED,Кожа,Темно-синий,Длинный ремень,1,Новое с биркой,Ordinary,0,1,1,Экстремально люксовые,Сделанные вручную,0,330000
INT XS,Поясные сумки,HERMES PRE-OWNED,Кожа,Бежевый,Короткие ручки,1,Новое с биркой,Ordinary,0,1,0,Экстремально люксовые,Сделанные вручную,0,327000
INT S,Сумки через плечо,SAINT LAURENT,Кожа,Бежевый,Длинный ремень,0,Хорошее состояние,Loulou,0,0,0,Люксовые,Завершенные вручную,1,157000
INT M,Сумки с короткими ручками,HERMES PRE-OWNED,Кожа,Белый,Короткие ручки,1,Отличное состояние,Kelly,1,0,0,Экстремально люксовые,Сделанные вручную,1,1500000
INT L,Сумки с короткими ручками,CHRISTIAN DIOR PRE-OWNED,Другое,Мульти,Короткие ручки,0,Отличное состояние,Book,0,0,0,Люксовые,Сделанные вручную,1,260000
INT XS,Сумки через плечо,HERMES PRE-OWNED,Лакированная кожа,Коричневый,Средние ручки,1,Новое с биркой,Kelly,0,1,0,Экстремально люксовые,Сделанные вручную,1,740000
INT M,Сумки с короткими ручками,GUCCI,Кожа,Черный,Средние ручки,1,Отличное состояние,Ordinary,1,0,0,Люксовые,Завершенные вручную,0,60000
INT S,Сумки через плечо,BALMAIN,Кожа,Бордовый,Длинный ремень,0,Хорошее состояние,Ordinary,0,0,0,Люксовые,Произведенные на фабрике,0,103000
INT S,Сумки через плечо,HERMES PRE-OWNED,Шерсть,Темно-синий,Длинный ремень,1,Новое с биркой,Ordinary,0,1,0,Экстремально люксовые,Сделанные вручную,0,295000
INT S,Сумки через плечо,FURLA,Другое,Черный,Длинный ремень,0,Новое с биркой,Ordinary,0,0,0,Дорогие,Произведенные на фабрике,0,18000
INT S,Сумки через плечо,GUCCI,Кожа,Красный,Длинный ремень,1,Отличное состояние,Ordinary,0,0,0,Люксовые,Завершенные вручную,0,50000
INT S,Сумки через плечо,GUCCI,Кожа,Бирюзовый,Длинный ремень,0,Хорошее состояние,Ordinary,0,0,0,Люксовые,Завершенные вручную,0,65000
INT S,Сумки через плечо,LOUIS VUITTON PRE-OWNED,Другое,Коричневый,Длинный ремень,0,Хорошее состояние,Ordinary,0,0,0,Люксовые,Произведенные на фабрике,0,65000
INT M,Сумки тоут,CHANEL PRE-OWNED,Кожа,Черный,Средние ручки,0,Хорошее состояние,Ordinary,0,0,0,Люксовые,Произведенные на фабрике,0,95000
INT M,Сумки с короткими ручками,GUCCI,Кожа,Черный,Короткие ручки,0,Хорошее состояние,Ordinary,0,0,0,Люксовые,Завершенные вручную,0,100000
INT M,Сумки через плечо,LOUIS VUITTON PRE-OWNED,Другое,Коричневый,Длинный ремень,1,Отличное состояние,Ordinary,0,0,0,Люксовые,Произведенные на фабрике,0,110000
INT M,Сумки тоут,LOUIS VUITTON PRE-OWNED,Другое,Белый,Средние ручки,0,Хорошее состояние,Ordinary,0,0,0,Люксовые,Произведенные на фабрике,0,65000
INT M,Сумки тоут,LOUIS VUITTON PRE-OWNED,Другое,Коричневый,Средние ручки,0,Отличное состояние,Ordinary,0,0,0,Люксовые,Произведенные на фабрике,0,125000
INT S,Сумки через плечо,GUCCI,Кожа,Красный,Длинный ремень,0,Отличное состояние,Ordinary,0,0,0,Люксовые,Завершенные вручную,0,75000
INT M,Рюкзаки,LOUIS VUITTON PRE-OWNED,Другое,Белый,Средние ручки,1,Хорошее состояние,Ordinary,0,0,0,Люксовые,Произведенные на фабрике,0,110000
INT M,Сумки тоут,LOUIS VUITTON PRE-OWNED,Кожа,Коричневый,Средние ручки,1,Отличное состояние,Ordinary,0,0,0,Люксовые,Произведенные на фабрике,0,110000
INT M,Сумки тоут,LOUIS VUITTON PRE-OWNED,Кожа,Другое,Длинный ремень,0,Отличное состояние,Ordinary,0,0,0,Люксовые,Произведенные на фабрике,0,80000
INT S,Рюкзаки,GUCCI,Кожа,Черный,Средние ручки,0,Отличное состояние,Ordinary,0,0,0,Люксовые,Завершенные вручную,0,110000
INT S,Рюкзаки,GUCCI,Кожа,Красный,Средние ручки,1,Отличное состояние,Ordinary,0,0,0,Люксовые,Завершенные вручную,0,110000
INT M,Сумки тоут,LOUIS VUITTON PRE-OWNED,Кожа,Другое,Средние ручки,0,Хорошее состояние,Ordinary,0,0,0,Люксовые,Произведенные на фабрике,0,65000
INT M,Сумки тоут,GUCCI,Экзотическая кожа,Другое,Средние ручки,0,Отличное состояние,Ordinary,1,0,0,Люксовые,Завершенные вручную,0,65000
INT U,Сумки тоут,JORDAN,Ткань,Розовый,Средние ручки,0,Новое с биркой,Ordinary,0,0,0,Доступные,Произведенные на фабрике,0,12000
INT U,Сумки тоут,JORDAN,Ткань,Антрацит,Средние ручки,0,Новое с биркой,Ordinary,0,0,0,Доступные,Произведенные на фабрике,0,12000
INT S,Сумки через плечо,CELINE PRE-OWNED,Кожа,Оранжевый,Средние ручки,0,Хорошее состояние,Ordinary,0,0,0,Люксовые,Произведенные на фабрике,0,46000
INT L,Сумки через плечо,JIL SANDER,Кожа,Хаки,Длинный ремень,0,Отличное состояние,Ordinary,0,0,0,Дорогие,Произведенные на фабрике,0,98000
INT U,Сумки тоут,SALVATORE FERRAGAMO,Кожа,Черный,Длинный ремень,0,Новое с биркой,Ordinary,0,0,0,Доступный люкс,Произведенные на фабрике,0,151560
INT M,Сумки тоут,DOLCE&GABBANA,Кожа,Черный,Длинный ремень,0,Хорошее состояние,Ordinary,0,0,0,Доступный люкс,Произведенные на фабрике,0,68000
INT XS,Сумки через плечо,CHANEL PRE-OWNED,Кожа,Другое,Длинный ремень,0,Хорошее состояние,Ordinary,0,0,0,Люксовые,Произведенные на фабрике,0,250000
INT U,Сумки тоут,SAINT LAURENT,Кожа,Черный,Средние ручки,0,Новое с биркой,Ordinary,0,0,0,Люксовые,Завершенные вручную,0,186800
INT S,Сумки через плечо,CHRISTIAN DIOR PRE-OWNED,Жаккард,Темно-синий,Длинный ремень,1,Отличное состояние,30 Montaigne,0,1,0,Люксовые,Сделанные вручную,1,155000
INT U,Клатчи и вечерние сумки,CHARLOTTE OLYMPIA,Другое,Бирюзовый,Короткие ручки,0,Новое с биркой,Ordinary,0,0,0,Дорогие,Произведенные на фабрике,0,37000
INT U,Сумки с короткими ручками,FENDI,Кожа,Черный,Короткие ручки,1,Новое с биркой,Ordinary,0,0,1,Люксовые,Сделанные вручную,0,234900
INT U,Сумки с короткими ручками,FENDI,Ткань,Коричневый,Короткие ручки,1,Новое с биркой,Ordinary,0,0,1,Люксовые,Сделанные вручную,0,234900
INT S,Клатчи и вечерние сумки,ELISABETTA FRANCHI,Искусственная кожа,Бежевый,Короткие ручки,1,Отличное состояние,Ordinary,0,0,0,Доступные,Произведенные на фабрике,0,14000
INT M,Сумки через плечо,JACQUEMUS,Замша,Бежевый,Средние ручки,1,Новое с биркой,Ordinary,0,0,0,Доступный люкс,Завершенные вручную,0,57000
INT U,Сумки через плечо,EMPORIO ARMANI,Кожа,Черный,Средние ручки,0,Новое с биркой,Ordinary,0,0,0,Дорогие,Произведенные на фабрике,0,61900
INT M,Сумки через плечо,GUCCI,Кожа,Черный,Средние ручки,1,Отличное состояние,Ordinary,0,1,0,Люксовые,Завершенные вручную,0,170000
INT S,Сумки через плечо,BOTTEGA VENETA,Кожа,Фиолетовый,Короткие ручки,1,Новое с биркой,Ordinary,0,0,0,Люксовые,Сделанные вручную,0,230000
INT U,Сумки через плечо,EMPORIO ARMANI,Другое,Черный,Средние ручки,0,Новое с биркой,Ordinary,0,0,0,Дорогие,Произведенные на фабрике,0,64900
INT S,Сумки через плечо,JACQUEMUS,Замша,Бежевый,Средние ручки,1,Отличное состояние,Ordinary,0,0,0,Доступный люкс,Завершенные вручную,0,42000
INT M,Сумки тоут,M2MALLETIER,Кожа,Черный,Короткие ручки,0,Хорошее состояние,Ordinary,0,0,0,Доступные,Произведенные на фабрике,0,13500
INT U,Сумки тоут,EMPORIO ARMANI,Другое,Бежевый,Средние ручки,0,Новое с биркой,Ordinary,0,0,0,Дорогие,Произведенные на фабрике,0,67900
INT U,Сумки тоут,EMPORIO ARMANI,Кожа,Бежевый,Средние ручки,0,Новое с биркой,Ordinary,0,0,0,Дорогие,Произведенные на фабрике,0,63900
INT M,Сумки через плечо,OFF-WHITE,Кожа,Черный,Длинный ремень,0,Новое с биркой,Ordinary,0,0,0,Доступный люкс,Произведенные на фабрике,0,180000
INT S,Клатчи и вечерние сумки,JIL SANDER,Кожа,Зеленый,Длинный ремень,0,Отличное состояние,Ordinary,0,0,0,Дорогие,Произведенные на фабрике,0,75000
INT M,Рюкзаки,COACH,Искусственная кожа,Черный,Средние ручки,0,Новое с биркой,Ordinary,0,0,0,Дорогие,Произведенные на фабрике,0,29820
INT S,Сумки через плечо,JACQUEMUS,Кожа,Розовый,Средние ручки,1,Новое с биркой,Ordinary,0,0,0,Доступный люкс,Завершенные вручную,0,73000
INT L,Сумки с короткими ручками,DKNY,Ткань,Бежевый,Короткие ручки,0,Отличное состояние,Ordinary,1,0,0,Доступные,Произведенные на фабрике,0,13000
INT U,Сумки с короткими ручками,FENDI,Кожа,Белый,Средние ручки,1,Новое с биркой,Ordinary,0,0,1,Люксовые,Сделанные вручную,0,359900
INT M,Рюкзаки,PRADA,Другое,Другое,Короткие ручки,0,Отличное состояние,Ordinary,0,0,0,Люксовые,Произведенные на фабрике,0,55000
INT S,Сумки тоут,VERSACE,Кожа,Черный,Длинный ремень,0,Хорошее состояние,Ordinary,0,0,0,Дорогие,Произведенные на фабрике,0,120000
INT U,Клатчи и вечерние сумки,FENDI,Кожа,Коричневый,Длинный ремень,1,Новое с биркой,Ordinary,0,0,1,Люксовые,Сделанные вручную,0,103990
INT U,Сумки через плечо,NEOUS,Кожа,Черный,Средние ручки,0,Новое с биркой,Ordinary,0,0,0,Дорогие,Произведенные на фабрике,0,60000
INT S,Клатчи и вечерние сумки,JIMMY CHOO,Другое,Серебряный,Средние ручки,1,Отличное состояние,Ordinary,0,1,0,Люксовые,Произведенные на фабрике,0,65550
INT M,Сумки тоут,FENDI,Кожа,Белый,Длинный ремень,0,Хорошее состояние,Ordinary,0,0,0,Люксовые,Сделанные вручную,0,150000
INT U,Сумки через плечо,LOUIS VUITTON PRE-OWNED,Кожа,Черный,Длинный ремень,0,Новое с биркой,Pochette Metis,0,0,0,Люксовые,Произведенные на фабрике,1,296471
INT M,Сумки тоут,MICHAEL MICHAEL KORS,Другое,Черный,Средние ручки,1,Новое с биркой,Ordinary,0,0,1,Доступные,Произведенные на фабрике,0,20800
INT M,Сумки тоут,BALMAIN,Кожа,Коричневый,Длинный ремень,0,Отличное состояние,Ordinary,0,0,0,Люксовые,Произведенные на фабрике,0,150000
INT U,Клатчи и вечерние сумки,SAINT LAURENT,Кожа,Бежевый,Длинный ремень,0,Новое с биркой,Ordinary,0,0,0,Люксовые,Завершенные вручную,0,189900
INT XS,Сумки через плечо,HERMES PRE-OWNED,Кожа,Розовый,Длинный ремень,1,Новое с биркой,Ordinary,0,1,0,Экстремально люксовые,Сделанные вручную,0,750000
INT M,Сумки через плечо,CHRISTIAN DIOR PRE-OWNED,Ткань,Бежевый,Длинный ремень,0,Отличное состояние,Lady,0,0,0,Люксовые,Сделанные вручную,1,400000
INT U,Сумки через плечо,CELINE PRE-OWNED,Кожа,Коричневый,Длинный ремень,1,Новое с биркой,Ordinary,0,0,1,Люксовые,Произведенные на фабрике,0,482900
INT U,Сумки тоут,BURBERRY,Хлопок,Мульти,Средние ручки,0,Новое с биркой,Ordinary,0,0,0,Люксовые,Произведенные на фабрике,0,136740
INT M,Сумки тоут,HERMES PRE-OWNED,Кожа,Черный,Короткие ручки,1,Новое с биркой,Ordinary,0,1,0,Экстремально люксовые,Сделанные вручную,0,515000
INT M,Сумки с короткими ручками,LOUIS VUITTON PRE-OWNED,Лакированная кожа,Бордовый,Короткие ручки,0,Отличное состояние,Alma,0,0,0,Люксовые,Произведенные на фабрике,1,65000
INT U,Сумки через плечо,BURBERRY,Другое,Зеленый,Средние ручки,0,Новое с биркой,Ordinary,0,0,0,Люксовые,Произведенные на фабрике,0,186770
INT M,Сумки с короткими ручками,VALENTINO,Кожа,Желтый,Короткие ручки,0,Хорошее состояние,Ordinary,0,0,0,Доступный люкс,Произведенные на фабрике,0,89000
INT U,Сумки с короткими ручками,HERMES PRE-OWNED,Ткань,Темно-синий,Длинный ремень,1,Новое с биркой,Ordinary,0,1,0,Экстремально люксовые,Сделанные вручную,0,505000
INT U,Сумки тоут,ALEXANDER MCQUEEN,Кожа,Черный,Средние ручки,0,Новое с биркой,Ordinary,0,0,0,Люксовые,Произведенные на фабрике,0,252390
INT L,Сумки с короткими ручками,GUCCI,Кожа,Черный,Короткие ручки,0,Отличное состояние,Ordinary,0,0,0,Люксовые,Завершенные вручную,0,48900
INT U,Сумки с короткими ручками,HERMES PRE-OWNED,Кожа,Коричневый,Средние ручки,0,Отличное состояние,Birkin,0,0,0,Экстремально люксовые,Сделанные вручную,1,1360000
INT U,Сумки через плечо,ALEXANDER MCQUEEN,Кожа,Бордовый,Средние ручки,0,Новое с биркой,Ordinary,0,0,0,Люксовые,Произведенные на фабрике,0,181720
INT U,Поясные сумки,BURBERRY,Синтетика,Черный,Средние ручки,0,Новое с биркой,Ordinary,0,0,0,Люксовые,Произведенные на фабрике,0,196860
INT M,Сумки с короткими ручками,ETRO,Искусственная кожа,Коричневый,Средние ручки,0,Хорошее состояние,Ordinary,0,0,0,Доступные,Произведенные на фабрике,0,24000
INT M,Сумки с короткими ручками,HERMES PRE-OWNED,Другое,Черный,Средние ручки,0,Новое с биркой,Ordinary,0,0,0,Экстремально люксовые,Сделанные вручную,0,525000
INT U,Сумки тоут,MARNI,Другое,Бежевый,Средние ручки,0,Новое с биркой,Ordinary,0,0,0,Доступный люкс,Произведенные на фабрике,0,79500
INT L,Пляжные сумки,JACQUEMUS,Плетение,Бежевый,Длинный ремень,0,Новое с биркой,Ordinary,0,0,0,Доступный люкс,Завершенные вручную,0,62000
INT S,Сумки через плечо,MAX&CO,Искусственная кожа,Мульти,Длинный ремень,1,Отличное состояние,Ordinary,0,0,0,Доступные,Произведенные на фабрике,0,10000
INT U,Сумки тоут,MARNI,Другое,Черный,Средние ручки,0,Новое с биркой,Ordinary,0,0,0,Доступный люкс,Произведенные на фабрике,0,79500
INT S,Сумки с короткими ручками,MIU MIU,Кожа,Черный,Короткие ручки,0,Новое с биркой,Ordinary,0,0,0,Люксовые,Произведенные на фабрике,0,333000
INT M,Сумки с короткими ручками,GUCCI,Кожа,Коричневый,Средние ручки,0,Хорошее состояние,Ordinary,1,0,0,Люксовые,Завершенные вручную,0,39000
INT U,Сумки через плечо,BOTTEGA VENETA,Кожа,Зеленый,Средние ручки,0,Новое с биркой,Ordinary,0,0,0,Люксовые,Сделанные вручную,0,150000
INT U,Сумки через плечо,BOTTEGA VENETA,Кожа,Коричневый,Средние ручки,0,Новое с биркой,Ordinary,0,0,0,Люксовые,Сделанные вручную,0,150000
INT S,Сумки через плечо,PRADA,Другое,Черный,Короткие ручки,1,Отличное состояние,Ordinary,0,0,0,Люксовые,Произведенные на фабрике,0,55000
INT S,Сумки через плечо,HERMES PRE-OWNED,Кожа,Коричневый,Средние ручки,1,Новое с биркой,Jypsiere,0,1,1,Экстремально люксовые,Сделанные вручную,1,1120000
INT U,Сумки через плечо,BOTTEGA VENETA,Кожа,Зеленый,Длинный ремень,0,Новое с биркой,Ordinary,0,0,0,Люксовые,Сделанные вручную,0,230714
INT S,Сумки через плечо,LOUIS FERAUD,Кожа,Мульти,Средние ручки,1,Отличное состояние,Ordinary,0,0,0,Доступные,Произведенные на фабрике,0,14500
INT M,Сумки с короткими ручками,LONGCHAMP,Экзотическая кожа,Коричневый,Средние ручки,0,Отличное состояние,Ordinary,0,0,0,Доступные,Произведенные на фабрике,0,10000
INT U,Сумки через плечо,SAINT LAURENT,Другое,Черный,Средние ручки,0,Новое с биркой,Le 5 a 7,0,0,0,Люксовые,Завершенные вручную,1,146250
INT S,Сумки через плечо,HERMES PRE-OWNED,Кожа,Голубой,Средние ручки,0,Отличное состояние,Kelly,0,0,0,Экстремально люксовые,Сделанные вручную,1,271000
INT M,Сумки с короткими ручками,HERMES PRE-OWNED,Ткань,Темно-синий,Длинный ремень,0,Отличное состояние,Ordinary,0,0,0,Экстремально люксовые,Сделанные вручную,0,195340
INT U,Сумки через плечо,MIU MIU,Кожа,Черный,Длинный ремень,0,Новое с биркой,Ordinary,0,0,0,Люксовые,Произведенные на фабрике,0,191810
INT U,Сумки с короткими ручками,BURBERRY,Синтетика,Мульти,Короткие ручки,0,Новое с биркой,Ordinary,0,0,0,Люксовые,Произведенные на фабрике,0,186770
INT S,Сумки с короткими ручками,HERMES PRE-OWNED,Кожа,Розовый,Короткие ручки,0,Отличное состояние,Kelly,0,0,0,Экстремально люксовые,Сделанные вручную,1,1120000
INT S,Сумки через плечо,VALENTINO,Кожа,Черный,Длинный ремень,1,Хорошее состояние,Ordinary,0,0,0,Доступный люкс,Произведенные на фабрике,0,55000
INT U,Сумки с короткими ручками,ALEXANDER MCQUEEN,Кожа,Черный,Длинный ремень,0,Новое с биркой,Ordinary,0,0,0,Люксовые,Произведенные на фабрике,0,181720
INT U,Сумки через плечо,HERMES PRE-OWNED,Кожа,Черный,Средние ручки,0,Отличное состояние,Kelly,0,0,0,Экстремально люксовые,Сделанные вручную,1,723810
INT M,Сумки с короткими ручками,HERMES PRE-OWNED,Другое,Темно-синий,Длинный ремень,0,Отличное состояние,Ordinary,0,0,0,Экстремально люксовые,Сделанные вручную,0,246340
INT U,Сумки тоут,MARNI,Кожа,Другое,Длинный ремень,0,Новое с биркой,Ordinary,0,0,0,Доступный люкс,Произведенные на фабрике,0,181210
INT M,Сумки с короткими ручками,JACQUEMUS,Кожа,Черный,Длинный ремень,0,Новое с биркой,Ordinary,0,0,0,Доступный люкс,Завершенные вручную,0,75000
INT S,Сумки через плечо,CHANEL PRE-OWNED,Кожа,Другое,Длинный ремень,0,Хорошее состояние,Ordinary,0,0,0,Люксовые,Произведенные на фабрике,0,150000
INT U,Сумки тоут,LONGCHAMP,Кожа,Черный,Длинный ремень,0,Новое с биркой,Ordinary,0,0,0,Доступные,Произведенные на фабрике,0,39417
INT U,Сумки через плечо,LONGCHAMP,Другое,Мульти,Длинный ремень,0,Новое с биркой,Ordinary,0,0,0,Доступные,Произведенные на фабрике,0,32967
INT M,Сумки с короткими ручками,HERMES PRE-OWNED,Другое,Черный,Короткие ручки,1,Новое с биркой,Ordinary,0,1,1,Экстремально люксовые,Сделанные вручную,0,436000
INT M,Сумки с короткими ручками,HERMES PRE-OWNED,Другое,Черный,Длинный ремень,1,Новое с биркой,Ordinary,0,1,1,Экстремально люксовые,Сделанные вручную,0,501000
INT U,Сумки тоут,BALENCIAGA,Кожа,Черный,Длинный ремень,0,Новое с биркой,Ordinary,0,0,0,Люксовые,Произведенные на фабрике,0,231190
INT U,Сумки через плечо,HERMES PRE-OWNED,Кожа,Белый,Средние ручки,0,Отличное состояние,Kelly,0,0,0,Экстремально люксовые,Сделанные вручную,1,653000
INT XS,Сумки тоут,AGNONA,Кожа,Синий,Средние ручки,1,Новое с биркой,Ordinary,0,0,0,Дорогие,Произведенные на фабрике,0,80000
INT U,Сумки с короткими ручками,BURBERRY,Синтетика,Мульти,Короткие ручки,0,Новое с биркой,Ordinary,0,0,0,Люксовые,Произведенные на фабрике,0,150420
INT U,Сумки с короткими ручками,HERMES PRE-OWNED,Кожа,Красный,Средние ручки,0,Отличное состояние,Birkin,0,0,0,Экстремально люксовые,Сделанные вручную,1,1270000
INT M,Сумки с короткими ручками,EMPORIO ARMANI,Другое,Мульти,Короткие ручки,1,Отличное состояние,Ordinary,0,0,0,Дорогие,Произведенные на фабрике,0,45000
INT U,Сумки с короткими ручками,ALEXANDER MCQUEEN,Кожа,Коричневый,Длинный ремень,0,Новое с биркой,Ordinary,0,0,0,Люксовые,Произведенные на фабрике,0,150420
INT U,Сумки с короткими ручками,ALEXANDER MCQUEEN,Кожа,Черный,Длинный ремень,0,Новое с биркой,Ordinary,0,0,0,Люксовые,Произведенные на фабрике,0,150420
INT XS,Сумки через плечо,HERMES PRE-OWNED,Кожа,Желтый,Средние ручки,0,Хорошее состояние,Birkin,0,0,0,Экстремально люксовые,Сделанные вручную,1,680000
INT S,Сумки с короткими ручками,HERMES PRE-OWNED,Кожа,Черный,Короткие ручки,1,Отличное состояние,Kelly,0,1,0,Экстремально люксовые,Сделанные вручную,1,1570000
INT L,Сумки с короткими ручками,MICHAEL KORS,Другое,Коричневый,Средние ручки,1,Новое с биркой,Ordinary,0,0,0,Доступные,Произведенные на фабрике,0,20390
INT XS,Сумки с короткими ручками,HERMES PRE-OWNED,Экзотическая кожа,Серый,Длинный ремень,1,Отличное состояние,Kelly,0,1,1,Экстремально люксовые,Сделанные вручную,1,5590000
INT S,Сумки с короткими ручками,BOTTEGA VENETA,Кожа,Черный,Короткие ручки,1,Новое с биркой,Ordinary,0,1,1,Люксовые,Сделанные вручную,0,280000
INT S,Сумки через плечо,CELINE PRE-OWNED,Кожа,Черный,Короткие ручки,1,Новое с биркой,Ordinary,0,1,1,Люксовые,Произведенные на фабрике,0,220000
INT XS,Сумки через плечо,BOTTEGA VENETA,Кожа,Серебряный,Средние ручки,0,Хорошее состояние,Ordinary,0,0,0,Люксовые,Сделанные вручную,0,81200
INT XS,Сумки с короткими ручками,FENDI,Жаккард,Коричневый,Короткие ручки,0,Отличное состояние,Ordinary,1,0,0,Люксовые,Сделанные вручную,0,81200
